"TimeGenerated [Local Time]",MetricName,Total
"25/7/2022, 2:33:00.000 pm",ServiceApiLatency,1234
"25/7/2022, 2:33:00.000 pm",ServiceApiHit,20
"25/7/2022, 2:33:00.000 pm",Availability,20
"25/7/2022, 2:33:00.000 pm",ServiceApiResult,20
"25/7/2022, 2:33:00.000 pm",ServiceApiResult,34
"25/7/2022, 2:33:00.000 pm",ServiceApiLatency,2541
"25/7/2022, 2:33:00.000 pm",ServiceApiHit,34
"25/7/2022, 2:33:00.000 pm",Availability,34
"25/7/2022, 2:34:00.000 pm",ServiceApiLatency,666
"25/7/2022, 2:34:00.000 pm",ServiceApiHit,11
"25/7/2022, 2:34:00.000 pm",ServiceApiHit,12
"25/7/2022, 2:34:00.000 pm",ServiceApiLatency,1239
"25/7/2022, 2:34:00.000 pm",ServiceApiResult,12
"25/7/2022, 2:34:00.000 pm",Availability,12
"25/7/2022, 2:34:00.000 pm",ServiceApiResult,11
"25/7/2022, 2:34:00.000 pm",Availability,11
"25/7/2022, 2:35:00.000 pm",ServiceApiLatency,1615
"25/7/2022, 2:35:00.000 pm",ServiceApiResult,46
"25/7/2022, 2:35:00.000 pm",ServiceApiLatency,2686
"25/7/2022, 2:35:00.000 pm",ServiceApiHit,46
"25/7/2022, 2:35:00.000 pm",ServiceApiResult,22
"25/7/2022, 2:35:00.000 pm",Availability,22
"25/7/2022, 2:35:00.000 pm",Availability,46
"25/7/2022, 2:35:00.000 pm",ServiceApiHit,22
"25/7/2022, 2:36:00.000 pm",Availability,35
"25/7/2022, 2:36:00.000 pm",ServiceApiResult,35
"25/7/2022, 2:36:00.000 pm",ServiceApiLatency,1520
"25/7/2022, 2:36:00.000 pm",ServiceApiHit,35
"25/7/2022, 2:36:00.000 pm",ServiceApiHit,11
"25/7/2022, 2:36:00.000 pm",ServiceApiLatency,723
"25/7/2022, 2:36:00.000 pm",ServiceApiResult,11
"25/7/2022, 2:36:00.000 pm",Availability,11
"25/7/2022, 2:37:00.000 pm",Availability,22
"25/7/2022, 2:37:00.000 pm",ServiceApiResult,22
"25/7/2022, 2:37:00.000 pm",ServiceApiLatency,2760
"25/7/2022, 2:37:00.000 pm",ServiceApiHit,31
"25/7/2022, 2:37:00.000 pm",ServiceApiHit,22
"25/7/2022, 2:37:00.000 pm",ServiceApiLatency,1281
"25/7/2022, 2:37:00.000 pm",Availability,31
"25/7/2022, 2:37:00.000 pm",ServiceApiResult,31
"25/7/2022, 2:38:00.000 pm",ServiceApiResult,36
"25/7/2022, 2:38:00.000 pm",Availability,11
"25/7/2022, 2:38:00.000 pm",ServiceApiResult,11
"25/7/2022, 2:38:00.000 pm",ServiceApiLatency,750
"25/7/2022, 2:38:00.000 pm",Availability,36
"25/7/2022, 2:38:00.000 pm",ServiceApiLatency,1513
"25/7/2022, 2:38:00.000 pm",ServiceApiHit,36
"25/7/2022, 2:38:00.000 pm",ServiceApiHit,11
"25/7/2022, 2:39:00.000 pm",Availability,22
"25/7/2022, 2:39:00.000 pm",ServiceApiResult,22
"25/7/2022, 2:39:00.000 pm",ServiceApiLatency,1336
"25/7/2022, 2:39:00.000 pm",ServiceApiHit,22
"25/7/2022, 2:39:00.000 pm",Availability,1344
"25/7/2022, 2:39:00.000 pm",ServiceApiResult,1344
"25/7/2022, 2:39:00.000 pm",ServiceApiLatency,21820
"25/7/2022, 2:39:00.000 pm",ServiceApiHit,1344
"25/7/2022, 2:40:00.000 pm",Availability,52
"25/7/2022, 2:40:00.000 pm",ServiceApiResult,52
"25/7/2022, 2:40:00.000 pm",ServiceApiLatency,585
"25/7/2022, 2:40:00.000 pm",ServiceApiHit,52
"25/7/2022, 2:40:00.000 pm",Availability,6
"25/7/2022, 2:40:00.000 pm",ServiceApiResult,6
"25/7/2022, 2:40:00.000 pm",ServiceApiLatency,334
"25/7/2022, 2:40:00.000 pm",ServiceApiHit,6
"25/7/2022, 2:41:00.000 pm",ServiceApiHit,16
"25/7/2022, 2:41:00.000 pm",ServiceApiLatency,1006
"25/7/2022, 2:41:00.000 pm",ServiceApiResult,16
"25/7/2022, 2:41:00.000 pm",Availability,16
"25/7/2022, 2:41:00.000 pm",Availability,409
"25/7/2022, 2:41:00.000 pm",ServiceApiResult,409
